Fila_atuacao;UF_Loja;Analista;Data;Status;TMA;Valor
Vendas;RS;Natal Domoney;09/06/2023;Pendência;00:23:58;R$ 13.668,00
Agendamento;RJ;Sianna Maypowder;09/06/2023;Reprova;00:11:18;R$ 20.713,00
Vendas;BA;Jermain Tolle;09/06/2023;Aprovação;00:22:55;R$ 13.592,00
Agendamento;ES;Carol-jean Bortolotti;09/06/2023;Fraude;00:29:14;R$ 12.776,00
Vendas;DF;Jermain Tolle;09/06/2023;Pendência;00:18:14;R$ 410,00
Agendamento;RN;Lucie Mongan;09/06/2023;Reprova;00:13:13;R$ 11.647,00
Agendamento;SE;Christean Birrel;09/06/2023;Pendência;00:24:45;R$ 14.941,00
Agendamento;MG;Leonardo Davion;09/06/2023;Reprova;00:16:45;R$ 18.978,00
Contato;MA;Rolland d'Escoffier;09/06/2023;Aprovação;00:06:35;R$ 3.366,00
Vendas;BA;Christean Birrel;09/06/2023;Aprovação;00:03:57;R$ 10.341,00
Vendas;SP;Stuart Sarl;09/06/2023;Pendência;00:17:50;R$ 3.634,00
Contato;SP;Gavrielle O' Neligan;09/06/2023;Pendência;00:12:37;R$ 22.709,00
Agendamento;RJ;Carol-jean Bortolotti;09/06/2023;Fraude;00:07:02;R$ 6.976,00
Vendas;RS;Cathryn MacGibbon;09/06/2023;Aprovação;00:04:00;R$ 404,00
Agendamento;PI;Rolland d'Escoffier;09/06/2023;Aprovação;00:11:26;R$ 15.742,00
Vendas;PR;Byron Fairbard;09/06/2023;Aprovação;00:28:14;R$ 23.233,00
Vendas;RO;Byron Fairbard;09/06/2023;Fraude;00:04:01;R$ 10.037,00
Agendamento;SE;Abbie Capin;09/06/2023;Aprovação;00:08:00;R$ 7.339,00
Vendas;AP;Kenyon Baugh;09/06/2023;Pendência;00:17:56;R$ 13.293,00
Contato;MS;Boyce Tennant;09/06/2023;Aprovação;00:23:52;R$ 6.346,00
Vendas;RR;Stuart Sarl;09/06/2023;Aprovação;00:23:31;R$ 2.973,00
Contato;PE;Carol-jean Bortolotti;09/06/2023;Reprova;00:07:24;R$ 10.345,00
Agendamento;PR;Serena Bale;09/06/2023;Aprovação;00:23:30;R$ 10.215,00
Agendamento;PA;Lucie Mongan;09/06/2023;Fraude;00:12:19;R$ 22.642,00
Agendamento;ES;Leonardo Davion;09/06/2023;Aprovação;00:17:52;R$ 11.835,00
Contato;SE;Erma Larn;09/06/2023;Fraude;00:25:31;R$ 16.025,00
Contato;BA;Rolland d'Escoffier;09/06/2023;Aprovação;00:16:46;R$ 5.470,00
Contato;SC;Seth Coley;09/06/2023;Aprovação;00:12:49;R$ 3.076,00
Contato;AP;Byron Fairbard;09/06/2023;Pendência;00:07:30;R$ 11.604,00
Contato;SE;Lucie Mongan;09/06/2023;Aprovação;00:10:40;R$ 24.010,00
Vendas;PA;Joli Trebilcock;09/06/2023;Fraude;00:20:25;R$ 10.870,00
Agendamento;SC;Erma Larn;09/06/2023;Aprovação;00:19:10;R$ 6.785,00
Agendamento;BA;Christean Birrel;09/06/2023;Pendência;00:02:43;R$ 8.548,00
Agendamento;PA;Obadiah Kinde;09/06/2023;Fraude;00:21:35;R$ 19.464,00
Agendamento;RO;Christoforo Colquyte;09/06/2023;Fraude;00:21:58;R$ 6.435,00
Agendamento;RS;Carol-jean Bortolotti;09/06/2023;Reprova;00:27:55;R$ 4.526,00
Agendamento;PB;Kenyon Baugh;09/06/2023;Fraude;00:07:47;R$ 16.522,00
Agendamento;AC;Jodi Moyle;09/06/2023;Fraude;00:14:09;R$ 21.905,00
Contato;MS;Christean Birrel;09/06/2023;Aprovação;00:15:19;R$ 4.168,00
Contato;AC;Erma Larn;09/06/2023;Reprova;00:18:36;R$ 19.346,00
Agendamento;PE;Kenyon Baugh;09/06/2023;Aprovação;00:04:21;R$ 22.223,00
Vendas;AL;Natal Domoney;09/06/2023;Reprova;00:29:24;R$ 4.860,00
Agendamento;MS;Carol-jean Bortolotti;09/06/2023;Reprova;00:18:18;R$ 4.035,00
Agendamento;BA;Shanda Ismay;09/06/2023;Fraude;00:17:01;R$ 15.718,00
Vendas;PB;Natal Domoney;09/06/2023;Aprovação;00:27:16;R$ 20.246,00
Vendas;PI;Christoforo Colquyte;09/06/2023;Fraude;00:07:11;R$ 8.882,00
Contato;CE;Jodi Moyle;09/06/2023;Aprovação;00:20:01;R$ 5.602,00
Agendamento;SC;Joli Trebilcock;09/06/2023;Pendência;00:07:07;R$ 3.809,00
Agendamento;CE;Carol-jean Bortolotti;09/06/2023;Fraude;00:27:40;R$ 16.615,00
Contato;PE;Gavrielle O' Neligan;09/06/2023;Aprovação;00:02:13;R$ 14.858,00
Contato;RS;Christean Birrel;09/06/2023;Pendência;00:14:15;R$ 10.720,00
Contato;BA;Serena Bale;09/06/2023;Reprova;00:04:42;R$ 2.538,00
Contato;DF;Katya Craghead;09/06/2023;Reprova;00:26:05;R$ 2.664,00
Agendamento;AL;Joli Trebilcock;09/06/2023;Fraude;00:23:41;R$ 8.635,00
Agendamento;RS;Sianna Maypowder;09/06/2023;Fraude;00:28:12;R$ 948,00
Agendamento;RR;Byron Fairbard;09/06/2023;Reprova;00:27:12;R$ 11.619,00
Vendas;ES;Idette Thyer;09/06/2023;Pendência;00:05:03;R$ 8.661,00
Contato;BA;Seth Coley;09/06/2023;Reprova;00:20:09;R$ 7.267,00
Contato;GO;Boyce Tennant;09/06/2023;Fraude;00:24:20;R$ 10.279,00
Agendamento;RJ;Seth Coley;09/06/2023;Aprovação;00:03:39;R$ 2.888,00
Agendamento;AM;Lilas Brahms;09/06/2023;Fraude;00:04:47;R$ 4.964,00
Vendas;SP;Lilas Brahms;09/06/2023;Aprovação;00:26:30;R$ 12.322,00
Agendamento;AC;Sianna Maypowder;09/06/2023;Aprovação;00:02:38;R$ 17.148,00
Agendamento;PB;Sianna Maypowder;09/06/2023;Aprovação;00:12:39;R$ 15.319,00
Vendas;SE;Serena Bale;09/06/2023;Fraude;00:01:06;R$ 22.973,00
Contato;TO;Stuart Sarl;09/06/2023;Aprovação;00:25:09;R$ 5.077,00
Vendas;MS;Lilas Brahms;09/06/2023;Fraude;00:14:18;R$ 15.136,00
Contato;PE;Serena Bale;09/06/2023;Aprovação;00:25:48;R$ 186,00
Contato;RJ;Serena Bale;09/06/2023;Reprova;00:03:58;R$ 20.538,00
Contato;RO;Christean Birrel;09/06/2023;Reprova;00:07:49;R$ 6.210,00
Contato;MS;Idette Thyer;09/06/2023;Aprovação;00:13:50;R$ 8.713,00
Vendas;SP;Stuart Sarl;09/06/2023;Aprovação;00:17:34;R$ 12.167,00
Contato;DF;Erma Larn;09/06/2023;Aprovação;00:07:53;R$ 8.229,00
Contato;CE;Carol-jean Bortolotti;09/06/2023;Fraude;00:09:30;R$ 11.261,00
Contato;MG;Shanda Ismay;09/06/2023;Aprovação;00:22:40;R$ 23.114,00
Vendas;PE;Carol-jean Bortolotti;09/06/2023;Aprovação;00:19:45;R$ 5.961,00
Vendas;RS;Leonardo Davion;09/06/2023;Fraude;00:15:44;R$ 2.149,00
Agendamento;MT;Jodi Moyle;09/06/2023;Fraude;00:19:16;R$ 1.023,00
Contato;CE;Jermain Tolle;09/06/2023;Pendência;00:15:48;R$ 11.281,00
Agendamento;SC;Osgood Castaignet;09/06/2023;Pendência;00:10:31;R$ 2.619,00
Vendas;PB;Shanda Ismay;09/06/2023;Fraude;00:27:15;R$ 7.893,00
Agendamento;ES;Stuart Sarl;09/06/2023;Fraude;00:16:41;R$ 18.927,00
Agendamento;MG;Carlita Yoakley;09/06/2023;Aprovação;00:09:13;R$ 19.191,00
Agendamento;AM;Jodi Moyle;09/06/2023;Pendência;00:14:48;R$ 5.221,00
Vendas;AP;Erma Larn;09/06/2023;Pendência;00:26:36;R$ 227,00
Agendamento;MA;Lucie Mongan;09/06/2023;Aprovação;00:20:10;R$ 21.815,00
Contato;RO;Gavrielle O' Neligan;09/06/2023;Reprova;00:06:22;R$ 3.893,00
Contato;RO;Leonardo Davion;09/06/2023;Reprova;00:01:36;R$ 12.628,00
Contato;ES;Leonardo Davion;09/06/2023;Aprovação;00:06:06;R$ 24.216,00
Vendas;MS;Bank Vertigan;09/06/2023;Aprovação;00:10:15;R$ 19.075,00
Contato;AM;Seth Coley;09/06/2023;Fraude;00:05:18;R$ 398,00
Contato;RS;Osgood Castaignet;09/06/2023;Fraude;00:07:07;R$ 16.832,00
Agendamento;RS;Shanda Ismay;09/06/2023;Reprova;00:02:22;R$ 13.766,00
Agendamento;ES;Lucie Mongan;09/06/2023;Pendência;00:06:03;R$ 1.768,00
Agendamento;AM;Abbie Capin;09/06/2023;Aprovação;00:02:44;R$ 20.585,00
Agendamento;SP;Boyce Tennant;09/06/2023;Pendência;00:15:03;R$ 4.743,00
Contato;RR;Rolland d'Escoffier;09/06/2023;Fraude;00:21:32;R$ 24.402,00
Contato;RO;Gavrielle O' Neligan;09/06/2023;Aprovação;00:05:15;R$ 19.326,00
Vendas;MT;Bank Vertigan;09/06/2023;Pendência;00:07:46;R$ 18.681,00
Vendas;PB;Jermain Tolle;09/06/2023;Aprovação;00:18:21;R$ 19.502,00
Contato;RR;Tawsha Fincher;09/06/2023;Reprova;00:20:50;R$ 6.142,00
Vendas;PB;Gavrielle O' Neligan;09/06/2023;Pendência;00:21:30;R$ 23.621,00
Agendamento;AL;Byron Fairbard;09/06/2023;Fraude;00:01:18;R$ 14.394,00
Agendamento;AP;Natal Domoney;09/06/2023;Aprovação;00:01:16;R$ 2.778,00
Agendamento;RJ;Abbie Capin;09/06/2023;Aprovação;00:10:35;R$ 2.140,00
Contato;GO;Katya Craghead;09/06/2023;Fraude;00:27:18;R$ 10.174,00
Contato;PR;Lilas Brahms;09/06/2023;Fraude;00:13:56;R$ 4.336,00
Agendamento;CE;Christean Birrel;09/06/2023;Fraude;00:04:16;R$ 717,00
Vendas;AC;Katya Craghead;09/06/2023;Aprovação;00:05:49;R$ 20.447,00
Agendamento;SC;Obadiah Kinde;09/06/2023;Aprovação;00:18:49;R$ 8.622,00
Contato;MG;Katya Craghead;09/06/2023;Pendência;00:01:30;R$ 7.587,00
Vendas;AL;Joli Trebilcock;09/06/2023;Pendência;00:28:29;R$ 2.381,00
Agendamento;PI;Christean Birrel;09/06/2023;Aprovação;00:07:03;R$ 23.429,00
Vendas;RS;Abbie Capin;09/06/2023;Reprova;00:13:05;R$ 15.424,00
Agendamento;MS;Serena Bale;09/06/2023;Aprovação;00:03:27;R$ 9.366,00
Vendas;PE;Carol-jean Bortolotti;09/06/2023;Pendência;00:17:06;R$ 3.954,00
Contato;RN;Abbie Capin;09/06/2023;Aprovação;00:26:15;R$ 3.521,00
Vendas;RJ;Jodi Moyle;09/06/2023;Reprova;00:29:31;R$ 10.831,00
Vendas;SC;Stuart Sarl;09/06/2023;Pendência;00:05:17;R$ 19.339,00
Vendas;PI;Rolland d'Escoffier;09/06/2023;Pendência;00:17:57;R$ 13.567,00
Agendamento;SC;Carlita Yoakley;09/06/2023;Fraude;00:07:23;R$ 22.158,00
Agendamento;AC;Bank Vertigan;09/06/2023;Aprovação;00:29:33;R$ 9.137,00
Vendas;PA;Sianna Maypowder;09/06/2023;Fraude;00:10:24;R$ 20.579,00
Agendamento;RS;Obadiah Kinde;09/06/2023;Reprova;00:10:39;R$ 22.270,00
Contato;MT;Byron Fairbard;09/06/2023;Aprovação;00:08:17;R$ 16.578,00
Agendamento;PR;Katya Craghead;09/06/2023;Fraude;00:06:19;R$ 889,00
Contato;AP;Seth Coley;09/06/2023;Aprovação;00:10:01;R$ 13.890,00
Vendas;PB;Abbie Capin;09/06/2023;Aprovação;00:05:45;R$ 11.229,00
Contato;AP;Abbie Capin;09/06/2023;Aprovação;00:12:40;R$ 9.307,00
Contato;PI;Abbie Capin;09/06/2023;Aprovação;00:28:28;R$ 17.890,00
Vendas;RS;Seth Coley;09/06/2023;Aprovação;00:22:22;R$ 2.171,00
Agendamento;AC;Bank Vertigan;09/06/2023;Fraude;00:14:07;R$ 13.663,00
Contato;MA;Kenyon Baugh;09/06/2023;Aprovação;00:09:58;R$ 20.816,00
Vendas;AL;Rolland d'Escoffier;09/06/2023;Pendência;00:04:57;R$ 8.616,00
Vendas;AP;Christoforo Colquyte;09/06/2023;Pendência;00:16:02;R$ 4.080,00
Vendas;MA;Cathryn MacGibbon;09/06/2023;Aprovação;00:13:37;R$ 23.459,00
Agendamento;SC;Tawsha Fincher;09/06/2023;Aprovação;00:23:27;R$ 4.453,00
Contato;RN;Jermain Tolle;09/06/2023;Reprova;00:18:51;R$ 7.645,00
Contato;PR;Seth Coley;09/06/2023;Fraude;00:05:29;R$ 17.845,00
Vendas;GO;Carol-jean Bortolotti;09/06/2023;Aprovação;00:15:39;R$ 21.783,00
Contato;PI;Abbie Capin;09/06/2023;Aprovação;00:15:13;R$ 9.019,00
Contato;RS;Carlita Yoakley;09/06/2023;Aprovação;00:22:37;R$ 17.618,00
Contato;RO;Katya Craghead;09/06/2023;Pendência;00:09:00;R$ 24.547,00
Agendamento;SP;Idette Thyer;09/06/2023;Pendência;00:29:25;R$ 24.476,00
Contato;AC;Byron Fairbard;09/06/2023;Aprovação;00:08:51;R$ 21.810,00
Vendas;RR;Idette Thyer;09/06/2023;Reprova;00:26:00;R$ 14.104,00
Agendamento;AC;Leonardo Davion;09/06/2023;Fraude;00:11:00;R$ 24.193,00
Contato;AL;Rolland d'Escoffier;09/06/2023;Fraude;00:17:19;R$ 16.140,00
Contato;PA;Tawsha Fincher;09/06/2023;Fraude;00:15:18;R$ 20.420,00
Vendas;AL;Jermain Tolle;09/06/2023;Aprovação;00:19:21;R$ 12.370,00
Contato;PB;Serena Bale;09/06/2023;Aprovação;00:08:29;R$ 23.653,00
Contato;AL;Serena Bale;09/06/2023;Aprovação;00:15:31;R$ 22.729,00
Contato;RJ;Joli Trebilcock;09/06/2023;Reprova;00:15:52;R$ 21.620,00
Vendas;SP;Boyce Tennant;09/06/2023;Reprova;00:14:56;R$ 20.610,00
Vendas;AP;Rolland d'Escoffier;09/06/2023;Aprovação;00:13:49;R$ 2.893,00
Vendas;SE;Abbie Capin;09/06/2023;Fraude;00:24:04;R$ 9.553,00
Contato;TO;Idette Thyer;09/06/2023;Fraude;00:18:31;R$ 6.929,00
Contato;DF;Lucie Mongan;09/06/2023;Aprovação;00:03:20;R$ 175,00
Vendas;ES;Joli Trebilcock;09/06/2023;Aprovação;00:03:07;R$ 14.480,00
Agendamento;AL;Christean Birrel;09/06/2023;Fraude;00:15:39;R$ 23.300,00
Agendamento;RJ;Kenyon Baugh;09/06/2023;Fraude;00:06:29;R$ 12.548,00
Contato;PA;Idette Thyer;09/06/2023;Reprova;00:22:51;R$ 13.018,00
Vendas;GO;Seth Coley;09/06/2023;Aprovação;00:05:54;R$ 11.100,00
Vendas;GO;Cathryn MacGibbon;09/06/2023;Aprovação;00:04:28;R$ 16.345,00
Vendas;PE;Cathryn MacGibbon;09/06/2023;Pendência;00:24:24;R$ 8.131,00
Contato;PI;Obadiah Kinde;09/06/2023;Aprovação;00:20:12;R$ 21.283,00
Contato;SP;Jodi Moyle;09/06/2023;Aprovação;00:26:05;R$ 9.346,00
Agendamento;RN;Abbie Capin;09/06/2023;Aprovação;00:23:53;R$ 11.273,00
Vendas;PR;Osgood Castaignet;09/06/2023;Reprova;00:25:38;R$ 22.684,00
Contato;MS;Cathryn MacGibbon;09/06/2023;Aprovação;00:23:39;R$ 3.331,00
Vendas;AC;Rolland d'Escoffier;09/06/2023;Fraude;00:20:03;R$ 16.699,00
Vendas;RS;Gavrielle O' Neligan;09/06/2023;Fraude;00:05:00;R$ 24.564,00
Contato;RO;Boyce Tennant;09/06/2023;Aprovação;00:12:36;R$ 22.370,00
Vendas;RO;Bank Vertigan;09/06/2023;Aprovação;00:14:51;R$ 16.255,00
Vendas;RR;Carol-jean Bortolotti;09/06/2023;Aprovação;00:18:07;R$ 20.133,00
Agendamento;RO;Lucie Mongan;09/06/2023;Aprovação;00:29:43;R$ 4.595,00
Agendamento;AL;Jodi Moyle;09/06/2023;Aprovação;00:14:16;R$ 18.405,00
Agendamento;ES;Boyce Tennant;09/06/2023;Pendência;00:14:29;R$ 9.363,00
Contato;CE;Lucie Mongan;09/06/2023;Fraude;00:17:03;R$ 22.048,00
Agendamento;TO;Cathryn MacGibbon;09/06/2023;Pendência;00:10:58;R$ 16.240,00
Contato;SE;Katya Craghead;09/06/2023;Aprovação;00:17:52;R$ 1.718,00
Vendas;SE;Natal Domoney;09/06/2023;Aprovação;00:09:48;R$ 4.331,00
Vendas;CE;Lucie Mongan;09/06/2023;Fraude;00:13:00;R$ 12.730,00
Vendas;AP;Boyce Tennant;09/06/2023;Fraude;00:12:07;R$ 13.075,00
Contato;RS;Lucie Mongan;09/06/2023;Fraude;00:27:03;R$ 7.601,00
Vendas;PE;Christoforo Colquyte;09/06/2023;Fraude;00:17:42;R$ 861,00
Contato;PB;Idette Thyer;09/06/2023;Aprovação;00:03:33;R$ 2.135,00
Vendas;MA;Tawsha Fincher;09/06/2023;Aprovação;00:12:12;R$ 4.256,00
Vendas;RS;Erma Larn;09/06/2023;Pendência;00:10:17;R$ 3.059,00
Vendas;AM;Carol-jean Bortolotti;09/06/2023;Pendência;00:03:14;R$ 23.994,00
Vendas;PA;Cathryn MacGibbon;09/06/2023;Fraude;00:08:55;R$ 16.621,00
Vendas;PE;Abbie Capin;09/06/2023;Fraude;00:11:53;R$ 24.818,00
Vendas;MS;Seth Coley;09/06/2023;Aprovação;00:28:12;R$ 9.058,00
Agendamento;AP;Abbie Capin;09/06/2023;Aprovação;00:19:50;R$ 13.641,00
Contato;MS;Osgood Castaignet;09/06/2023;Aprovação;00:02:35;R$ 20.983,00
Agendamento;AL;Jodi Moyle;09/06/2023;Pendência;00:03:31;R$ 13.928,00
Vendas;GO;Sianna Maypowder;09/06/2023;Fraude;00:20:00;R$ 14.590,00
Agendamento;BA;Osgood Castaignet;09/06/2023;Reprova;00:04:10;R$ 5.656,00
Agendamento;RS;Byron Fairbard;09/06/2023;Aprovação;00:08:06;R$ 19.847,00
Contato;BA;Carol-jean Bortolotti;09/06/2023;Aprovação;00:13:05;R$ 15.264,00
Vendas;MT;Erma Larn;09/06/2023;Fraude;00:18:47;R$ 4.657,00
Contato;PB;Carlita Yoakley;09/06/2023;Aprovação;00:22:00;R$ 1.268,00
Vendas;AP;Gavrielle O' Neligan;09/06/2023;Aprovação;00:27:50;R$ 12.110,00
Agendamento;CE;Katya Craghead;09/06/2023;Aprovação;00:14:58;R$ 634,00
Agendamento;RS;Cathryn MacGibbon;09/06/2023;Fraude;00:21:51;R$ 6.407,00
Contato;SE;Rolland d'Escoffier;09/06/2023;Fraude;00:25:42;R$ 13.396,00
Agendamento;AP;Bank Vertigan;09/06/2023;Aprovação;00:28:22;R$ 9.161,00
Contato;GO;Leonardo Davion;09/06/2023;Aprovação;00:27:40;R$ 8.567,00
Agendamento;ES;Abbie Capin;09/06/2023;Aprovação;00:23:39;R$ 21.186,00
Agendamento;BA;Christean Birrel;09/06/2023;Pendência;00:19:59;R$ 17.207,00
Contato;RN;Gavrielle O' Neligan;09/06/2023;Aprovação;00:18:22;R$ 5.824,00
Agendamento;PA;Katya Craghead;09/06/2023;Fraude;00:23:06;R$ 7.412,00
Agendamento;GO;Shanda Ismay;09/06/2023;Reprova;00:05:41;R$ 10.032,00
Contato;ES;Stuart Sarl;09/06/2023;Aprovação;00:05:09;R$ 21.070,00
Agendamento;SE;Christean Birrel;09/06/2023;Aprovação;00:16:34;R$ 6.696,00
Vendas;CE;Abbie Capin;09/06/2023;Fraude;00:14:39;R$ 12.524,00
Vendas;MG;Sianna Maypowder;09/06/2023;Aprovação;00:04:24;R$ 7.887,00
Vendas;TO;Obadiah Kinde;09/06/2023;Aprovação;00:03:45;R$ 22.745,00
Agendamento;AP;Joli Trebilcock;09/06/2023;Fraude;00:01:52;R$ 16.342,00
Agendamento;RJ;Christoforo Colquyte;09/06/2023;Reprova;00:10:42;R$ 2.925,00
Agendamento;SP;Christoforo Colquyte;09/06/2023;Aprovação;00:11:11;R$ 9.544,00
Vendas;SC;Christoforo Colquyte;09/06/2023;Aprovação;00:19:18;R$ 3.608,00
Agendamento;PA;Natal Domoney;09/06/2023;Pendência;00:07:34;R$ 5.430,00
Agendamento;MG;Stuart Sarl;09/06/2023;Aprovação;00:27:04;R$ 19.289,00
Vendas;ES;Cathryn MacGibbon;09/06/2023;Aprovação;00:02:50;R$ 16.107,00
Contato;DF;Osgood Castaignet;09/06/2023;Aprovação;00:24:49;R$ 9.303,00
Agendamento;AP;Jermain Tolle;09/06/2023;Aprovação;00:12:59;R$ 19.256,00
Contato;BA;Leonardo Davion;09/06/2023;Aprovação;00:06:31;R$ 21.957,00
Agendamento;PE;Leonardo Davion;09/06/2023;Aprovação;00:26:07;R$ 24.488,00
Vendas;AL;Leonardo Davion;09/06/2023;Fraude;00:05:20;R$ 6.056,00
Agendamento;SP;Shanda Ismay;09/06/2023;Fraude;00:15:22;R$ 6.557,00
Contato;AM;Serena Bale;09/06/2023;Aprovação;00:09:33;R$ 8.379,00
Agendamento;RJ;Boyce Tennant;09/06/2023;Aprovação;00:23:23;R$ 3.677,00
Contato;RO;Carol-jean Bortolotti;09/06/2023;Aprovação;00:13:48;R$ 6.873,00
Agendamento;MG;Abbie Capin;09/06/2023;Pendência;00:03:13;R$ 9.724,00
Agendamento;RR;Carol-jean Bortolotti;09/06/2023;Reprova;00:05:29;R$ 9.804,00
Contato;TO;Obadiah Kinde;09/06/2023;Pendência;00:08:54;R$ 6.394,00
Vendas;RJ;Natal Domoney;09/06/2023;Aprovação;00:17:23;R$ 19.876,00
Agendamento;PE;Carlita Yoakley;09/06/2023;Fraude;00:10:52;R$ 17.338,00
Vendas;SE;Serena Bale;09/06/2023;Pendência;00:14:41;R$ 22.182,00
Agendamento;RJ;Katya Craghead;09/06/2023;Fraude;00:25:27;R$ 22.242,00
Vendas;PE;Idette Thyer;09/06/2023;Aprovação;00:12:10;R$ 14.538,00
Vendas;BA;Abbie Capin;09/06/2023;Fraude;00:12:44;R$ 3.699,00
Agendamento;DF;Abbie Capin;09/06/2023;Fraude;00:05:47;R$ 16.017,00
Contato;RO;Serena Bale;09/06/2023;Reprova;00:08:31;R$ 16.803,00
Vendas;AM;Erma Larn;09/06/2023;Aprovação;00:09:22;R$ 2.495,00
Agendamento;PR;Stuart Sarl;09/06/2023;Pendência;00:01:18;R$ 22.963,00
Vendas;PB;Katya Craghead;09/06/2023;Fraude;00:05:50;R$ 14.425,00
Agendamento;RS;Cathryn MacGibbon;09/06/2023;Aprovação;00:05:40;R$ 10.739,00
Agendamento;RN;Carlita Yoakley;09/06/2023;Reprova;00:01:30;R$ 16.456,00
Vendas;SE;Idette Thyer;09/06/2023;Pendência;00:06:05;R$ 10.567,00
Vendas;PI;Osgood Castaignet;09/06/2023;Pendência;00:27:40;R$ 21.984,00
Contato;PE;Seth Coley;09/06/2023;Fraude;00:04:35;R$ 17.173,00
Contato;TO;Seth Coley;09/06/2023;Aprovação;00:29:03;R$ 8.340,00
Vendas;BA;Erma Larn;09/06/2023;Aprovação;00:08:35;R$ 22.442,00
Agendamento;AC;Erma Larn;09/06/2023;Fraude;00:09:23;R$ 18.453,00
Contato;AP;Cathryn MacGibbon;09/06/2023;Aprovação;00:24:33;R$ 18.788,00
Contato;AL;Katya Craghead;09/06/2023;Pendência;00:02:28;R$ 7.044,00
Agendamento;PR;Kenyon Baugh;09/06/2023;Aprovação;00:07:11;R$ 15.113,00
Contato;AL;Byron Fairbard;09/06/2023;Pendência;00:29:13;R$ 2.347,00
Vendas;RO;Carlita Yoakley;09/06/2023;Aprovação;00:06:01;R$ 21.054,00
Agendamento;RN;Tawsha Fincher;09/06/2023;Reprova;00:04:41;R$ 19.135,00
Agendamento;CE;Rolland d'Escoffier;09/06/2023;Pendência;00:10:19;R$ 21.728,00
Contato;AP;Christean Birrel;09/06/2023;Fraude;00:21:11;R$ 21.101,00
Contato;PI;Carol-jean Bortolotti;09/06/2023;Aprovação;00:21:34;R$ 20.728,00
Contato;AC;Lucie Mongan;09/06/2023;Reprova;00:01:08;R$ 3.434,00
Contato;AM;Tawsha Fincher;09/06/2023;Aprovação;00:05:18;R$ 23.510,00
Vendas;DF;Kenyon Baugh;09/06/2023;Aprovação;00:06:24;R$ 3.019,00
Agendamento;MA;Boyce Tennant;09/06/2023;Reprova;00:08:53;R$ 6.260,00
Vendas;MA;Christoforo Colquyte;09/06/2023;Reprova;00:10:23;R$ 5.085,00
Agendamento;BA;Boyce Tennant;09/06/2023;Fraude;00:05:14;R$ 2.282,00
Agendamento;RN;Jermain Tolle;09/06/2023;Reprova;00:04:06;R$ 16.365,00
Agendamento;AP;Jermain Tolle;09/06/2023;Aprovação;00:06:15;R$ 16.301,00
Agendamento;PI;Sianna Maypowder;09/06/2023;Pendência;00:15:16;R$ 9.084,00
Agendamento;MS;Tawsha Fincher;09/06/2023;Fraude;00:05:54;R$ 21.108,00
Agendamento;RR;Joli Trebilcock;09/06/2023;Reprova;00:11:18;R$ 3.721,00
Vendas;MT;Osgood Castaignet;09/06/2023;Pendência;00:29:00;R$ 17.591,00
Agendamento;AC;Idette Thyer;09/06/2023;Aprovação;00:09:58;R$ 10.113,00
Agendamento;CE;Byron Fairbard;09/06/2023;Fraude;00:17:52;R$ 19.359,00
Vendas;RS;Rolland d'Escoffier;09/06/2023;Aprovação;00:19:59;R$ 19.757,00
Agendamento;RN;Jermain Tolle;09/06/2023;Aprovação;00:15:07;R$ 9.004,00
Contato;AL;Obadiah Kinde;09/06/2023;Pendência;00:08:41;R$ 19.024,00
Agendamento;MS;Natal Domoney;09/06/2023;Pendência;00:15:34;R$ 15.293,00
Contato;MG;Sianna Maypowder;09/06/2023;Aprovação;00:05:30;R$ 9.490,00
Vendas;RJ;Osgood Castaignet;09/06/2023;Aprovação;00:26:01;R$ 20.823,00
Contato;MA;Tawsha Fincher;09/06/2023;Aprovação;00:08:59;R$ 11.457,00
Vendas;AL;Bank Vertigan;09/06/2023;Aprovação;00:12:43;R$ 20.970,00
Agendamento;ES;Christean Birrel;09/06/2023;Pendência;00:03:16;R$ 1.999,00
Agendamento;MA;Leonardo Davion;09/06/2023;Aprovação;00:26:28;R$ 2.092,00
Agendamento;MT;Leonardo Davion;09/06/2023;Aprovação;00:08:19;R$ 7.158,00
Vendas;PR;Serena Bale;09/06/2023;Aprovação;00:10:57;R$ 14.005,00
Contato;AC;Seth Coley;09/06/2023;Aprovação;00:12:34;R$ 15.533,00
Vendas;RR;Bank Vertigan;09/06/2023;Aprovação;00:02:25;R$ 19.734,00
Vendas;AM;Boyce Tennant;09/06/2023;Reprova;00:11:25;R$ 22.425,00
Vendas;DF;Sianna Maypowder;09/06/2023;Aprovação;00:07:20;R$ 13.676,00
Vendas;MG;Christoforo Colquyte;09/06/2023;Aprovação;00:23:03;R$ 5.669,00
Vendas;MA;Carlita Yoakley;09/06/2023;Reprova;00:19:45;R$ 7.035,00
Vendas;PB;Carol-jean Bortolotti;09/06/2023;Pendência;00:26:22;R$ 6.796,00
Agendamento;RJ;Kenyon Baugh;09/06/2023;Fraude;00:01:00;R$ 14.059,00
Contato;MA;Jodi Moyle;09/06/2023;Aprovação;00:03:00;R$ 109,00
Agendamento;PI;Gavrielle O' Neligan;09/06/2023;Aprovação;00:27:37;R$ 2.616,00
Agendamento;TO;Shanda Ismay;09/06/2023;Fraude;00:14:11;R$ 10.108,00
Contato;GO;Seth Coley;09/06/2023;Fraude;00:01:20;R$ 5.052,00
Agendamento;PI;Leonardo Davion;09/06/2023;Aprovação;00:15:33;R$ 2.989,00
